Classifier,Tag,Precision,Recall,F1,Accuracy,feature_type
DT,HARD1,0.9183,0.9929,0.9541,0.917,context
DT,HARD2,0.9483,0.625,0.7534,0.917,context
DT,HARD3,0.86,0.5584,0.6772,0.917,context
SVM,HARD1,0.91,1,0.95,0.91,context
SVM,HARD2,0.98,0.58,0.73,0.91,context
SVM,HARD3,0.84,0.48,0.61,0.91,context
RF,HARD1,0.91,1,0.95,0.91,context
RF,HARD2,0.93,0.65,0.77,0.91,context
RF,HARD3,0.94,0.4,0.56,0.91,context
NB,HARD1,0.9832,0.916,0.9484,0.895,context
NB,HARD2,0.5887,0.8295,0.6887,0.895,context
NB,HARD3,0.6742,0.7792,0.7229,0.895,context
SVM,HARD1,0.89,0.99,0.94,0.89,word
SVM,HARD2,0.89,0.47,0.61,0.89,word
SVM,HARD3,0.94,0.42,0.58,0.89,word
RF,HARD1,0.89,0.99,0.94,0.89,word
RF,HARD2,0.92,0.5,0.65,0.89,word
RF,HARD3,0.83,0.44,0.58,0.89,word
NB,HARD1,0.8693,0.9758,0.9195,0.8558,word
NB,HARD2,0.6923,0.5114,0.5882,0.8558,word
NB,HARD3,0.8571,0.1558,0.2637,0.8558,word
DT,HARD1,0.8609,0.9701,0.9123,0.8466,word
DT,HARD2,0.7,0.4773,0.5676,0.8466,word
DT,HARD3,0.6875,0.1429,0.2366,0.8466,word
