Classifier,Tag,Precision,Recall,F1,Accuracy,feature_type
DT,HARD1,0.8707,0.9786,0.9215,0.9263,context
DT,HARD2,0.8261,0.4318,0.5672,0.9263,context
DT,HARD3,0.7188,0.2987,0.422,0.9263,context
RF,HARD1,0.91,1,0.95,0.9146,context
RF,HARD2,0.92,0.66,0.77,0.9146,context
RF,HARD3,0.95,0.45,0.61,0.9146,context
SVM,HARD1,0.91,1,0.95,0.9123,context
SVM,HARD2,0.93,0.61,0.74,0.9123,context
SVM,HARD3,0.86,0.49,0.63,0.9123,context
NB,HARD1,0.9863,0.9217,0.9529,0.9008,context
NB,HARD2,0.6,0.8523,0.7042,0.9008,context
NB,HARD3,0.686,0.7662,0.7239,0.9008,context
NB,HARD1,0.9147,0.9473,0.9307,0.8743,word
NB,HARD2,0.6105,0.6591,0.6339,0.8743,word
NB,HARD3,0.7778,0.4545,0.5738,0.8743,word
DT,HARD1,0.8707,0.9786,0.9215,0.8627,word
DT,HARD2,0.8261,0.4318,0.5672,0.8627,word
DT,HARD3,0.7188,0.2987,0.422,0.8627,word
SVM,HARD1,0.86,0.98,0.91,0.8512,word
SVM,HARD2,0.78,0.4,0.53,0.8512,word
SVM,HARD3,0.75,0.19,0.31,0.8512,word
RF,HARD1,0.88,0.94,0.91,0.8431,word
RF,HARD2,0.61,0.5,0.55,0.8431,word
RF,HARD3,0.58,0.38,0.46,0.8431,word
